,strain,pool
11123,leaf_4771,train
11124,leaf_18085,train
11125,leaf_12264,train
11126,leaf_22915,train
11127,leaf_10587,train
11128,leaf_8867,train
11129,leaf_7544,train
11130,leaf_20893,train
11131,leaf_1018,train
11132,leaf_8384,train
11133,leaf_5854,train
11134,leaf_20363,train
11135,leaf_21410,train
11136,leaf_3034,train
11137,leaf_13281,train
11138,leaf_5317,train
11139,leaf_5302,train
11140,leaf_10150,train
11141,leaf_14174,train
11142,leaf_6025,train
11143,leaf_1960,train
11144,leaf_5032,train
11145,leaf_1551,train
11146,leaf_4685,train
11147,leaf_1690,train
11148,leaf_11975,train
11149,leaf_18181,train
11150,leaf_9713,train
11151,leaf_1644,train
11152,leaf_10406,train
11153,leaf_16485,train
11154,leaf_10502,train
11155,leaf_13880,train
11156,leaf_2170,train
11157,leaf_3796,train
11158,leaf_5994,train
11159,leaf_15210,train
11160,leaf_20020,train
11161,leaf_7949,train
11162,leaf_7183,train
11163,leaf_13958,train
11164,leaf_12121,train
11165,leaf_20671,train
11166,leaf_9151,train
11167,leaf_10376,train
11168,leaf_9699,train
11169,leaf_11500,train
11170,leaf_15809,train
11171,leaf_4296,train
11172,leaf_10573,train
11173,leaf_16721,train
11174,leaf_1554,train
11175,leaf_10316,train
11176,leaf_6150,train
11177,leaf_15790,train
11178,leaf_4196,train
11179,leaf_20647,train
11180,leaf_9962,train
11181,leaf_11710,train
11182,leaf_6224,train
11183,leaf_5776,train
11184,leaf_13689,train
11185,leaf_7169,train
11186,leaf_18483,train
11187,leaf_6014,train
11188,leaf_6300,train
11189,leaf_5294,train
11190,leaf_13792,train
11191,leaf_21778,train
11192,leaf_7561,train
11193,leaf_8984,train
11194,leaf_5182,train
11195,leaf_4144,train
11196,leaf_8071,train
11197,leaf_7618,train
11198,leaf_15450,train
11199,leaf_13508,train
11200,leaf_20422,train
11201,leaf_14560,train
11202,leaf_10616,train
11203,leaf_20121,train
11204,leaf_6087,train
11205,leaf_14305,train
11206,leaf_10540,train
11207,leaf_7392,train
11208,leaf_12146,train
11209,leaf_1271,train
11210,leaf_18117,train
11211,leaf_16768,train
11212,leaf_19949,train
11213,leaf_2454,train
11214,leaf_6671,train
11215,leaf_5964,train
11216,leaf_6101,train
11217,leaf_19457,train
11218,leaf_21814,train
11219,leaf_1699,train
11220,leaf_3946,train
11221,leaf_11177,train
11222,leaf_20517,train
11223,leaf_19292,train
11224,leaf_2210,train
11225,leaf_12186,train
11226,leaf_3235,train
11227,leaf_21939,train
11228,leaf_13513,train
11229,leaf_158,train
11230,leaf_1065,train
11231,leaf_20364,train
11232,leaf_8564,train
11233,leaf_16602,train
11234,leaf_3954,train
11235,leaf_19450,train
11236,leaf_2301,train
11237,leaf_14141,train
11238,leaf_8172,train
11239,leaf_11936,train
11240,leaf_13625,train
11241,leaf_21803,train
11242,leaf_12157,train
11243,leaf_4702,train
11244,leaf_12272,train
11245,leaf_20688,train
11246,leaf_11882,train
11247,leaf_14818,train
11248,leaf_18151,train
11249,leaf_13790,train
11250,leaf_18895,train
11251,leaf_15995,train
11252,leaf_8110,train
11253,leaf_9164,train
11254,leaf_7021,train
11255,leaf_5720,train
11256,leaf_11995,train
11257,leaf_19981,train
11258,leaf_17776,train
11259,leaf_4717,train
11260,leaf_18851,train
11261,leaf_17705,train
11262,leaf_13892,train
11263,leaf_7772,train
11264,leaf_19728,train
11265,leaf_690,train
11266,leaf_8313,train
11267,leaf_15156,train
11268,leaf_14130,train
11269,leaf_1410,train
11270,leaf_4549,train
11271,leaf_13274,train
11272,leaf_16413,train
11273,leaf_11931,train
11274,leaf_22129,train
11275,leaf_2013,train
11276,leaf_7104,train
11277,leaf_17039,train
11278,leaf_15215,train
11279,leaf_10338,train
11280,leaf_751,train
11281,leaf_7742,train
11282,leaf_20567,train
11283,leaf_1710,train
11284,leaf_827,train
11285,leaf_8262,train
11286,leaf_16609,train
11287,leaf_2666,train
11288,leaf_4905,train
11289,leaf_17794,train
11290,leaf_637,train
11291,leaf_21640,train
11292,leaf_15349,train
11293,leaf_14703,train
11294,leaf_5778,train
11295,leaf_18720,train
11296,leaf_12158,train
11297,leaf_11631,train
11298,leaf_11399,train
11299,leaf_2628,train
11300,leaf_21359,train
11301,leaf_21508,train
11302,leaf_18662,train
11303,leaf_12151,train
11304,leaf_17309,train
11305,leaf_14628,train
11306,leaf_8306,train
11307,leaf_604,train
11308,leaf_15974,train
11309,leaf_17666,train
11310,leaf_15538,train
11311,leaf_13138,train
11312,leaf_16201,train
11313,leaf_16231,train
11314,leaf_5858,train
11315,leaf_22597,train
11316,leaf_7150,train
11317,leaf_8924,train
11318,leaf_8526,train
11319,leaf_10191,train
11320,leaf_1246,train
11321,leaf_383,train
11322,leaf_1076,train
11323,leaf_854,train
11324,leaf_15116,train
11325,leaf_5320,train
11326,leaf_3182,train
11327,leaf_11287,train
11328,leaf_2992,train
11329,leaf_15015,train
11330,leaf_21642,train
11331,leaf_17722,train
11332,leaf_15604,train
11333,leaf_14743,train
11334,leaf_2002,train
11335,leaf_20794,train
11336,leaf_4937,train
11337,leaf_22788,train
11338,leaf_17550,train
11339,leaf_15884,train
11340,leaf_15426,train
11341,leaf_17809,train
11342,leaf_8820,train
11343,leaf_12026,train
11344,leaf_11506,train
11345,leaf_19974,train
11346,leaf_669,train
11347,leaf_3563,train
11348,leaf_8952,train
11349,leaf_12834,train
11350,leaf_5796,train
11351,leaf_3129,train
11352,leaf_12215,train
11353,leaf_2035,train
11354,leaf_168,train
11355,leaf_2804,train
11356,leaf_8206,train
11357,leaf_21650,train
11358,leaf_10152,train
11359,leaf_1086,train
11360,leaf_18401,train
11361,leaf_10037,train
11362,leaf_9277,train
11363,leaf_13125,train
11364,leaf_1840,train
11365,leaf_15588,train
11366,leaf_13426,train
11367,leaf_14728,train
11368,leaf_17246,train
11369,leaf_10816,train
11370,leaf_12113,train
11371,leaf_11175,train
11372,leaf_10057,train
11373,leaf_22167,train
11374,leaf_1915,train
11375,leaf_18696,train
11376,leaf_22019,train
11377,leaf_20683,train
11378,leaf_3116,train
11379,leaf_9604,train
11380,leaf_16627,train
11381,leaf_1659,train
11382,leaf_12496,train
11383,leaf_11358,train
11384,leaf_8417,train
11385,leaf_9796,train
11386,leaf_22126,train
11387,leaf_12889,train
11388,leaf_6424,train
11389,leaf_23059,train
11390,leaf_9107,train
11391,leaf_15929,train
11392,leaf_17270,train
11393,leaf_11031,train
11394,leaf_16039,train
11395,leaf_8264,train
11396,leaf_2496,train
11397,leaf_8785,train
11398,leaf_5585,train
11399,leaf_15555,train
11400,leaf_12006,train
11401,leaf_15424,train
11402,leaf_6138,train
11403,leaf_4536,train
11404,leaf_896,train
11405,leaf_14157,train
11406,leaf_11934,train
11407,leaf_8446,train
11408,leaf_23078,train
11409,leaf_22978,train
11410,leaf_15203,train
11411,leaf_21563,train
11412,leaf_5670,train
11413,leaf_10833,train
11414,leaf_6399,train
11415,leaf_3022,train
11416,leaf_11861,train
11417,leaf_683,train
11418,leaf_7528,train
11419,leaf_12604,train
11420,leaf_3734,train
11421,leaf_11611,train
11422,leaf_6180,train
11423,leaf_22454,train
11424,leaf_22966,train
11425,leaf_12127,train
11426,leaf_2575,train
11427,leaf_5879,train
11428,leaf_11812,train
11429,leaf_10193,train
11430,leaf_16334,train
11431,leaf_17456,train
11432,leaf_15761,train
11433,leaf_21364,train
11434,leaf_14197,train
11435,leaf_638,train
11436,leaf_20839,train
11437,leaf_16152,train
11438,leaf_2480,train
11439,leaf_8552,train
11440,leaf_1200,train
11441,leaf_824,train
11442,leaf_3989,train
11443,leaf_19256,train
11444,leaf_7192,train
11445,leaf_13736,train
11446,leaf_13051,train
11447,leaf_2562,train
11448,leaf_3233,train
11449,leaf_5920,train
11450,leaf_15634,train
11451,leaf_8441,train
11452,leaf_151,train
11453,leaf_16447,train
11454,leaf_8126,train
11455,leaf_8740,train
11456,leaf_14313,train
11457,leaf_20208,train
11458,leaf_7386,train
11459,leaf_8239,train
11460,leaf_3741,train
11461,leaf_7279,train
11462,leaf_2799,train
11463,leaf_2180,train
11464,leaf_22304,train
11465,leaf_5407,train
11466,leaf_16422,train
11467,leaf_22729,train
11468,leaf_4564,train
11469,leaf_633,train
11470,leaf_4628,train
11471,leaf_13332,train
11472,leaf_21723,train
11473,leaf_13202,train
11474,leaf_1239,train
11475,leaf_26,train
11476,leaf_22578,train
11477,leaf_6762,train
11478,leaf_21721,train
11479,leaf_13805,train
11480,leaf_22704,train
11481,leaf_13953,train
11482,leaf_3245,train
11483,leaf_14951,train
11484,leaf_17294,train
11485,leaf_324,train
11486,leaf_22586,train
11487,leaf_19546,train
11488,leaf_22161,train
11489,leaf_21816,train
11490,leaf_20388,train
11491,leaf_2907,train
11492,leaf_15656,train
11493,leaf_10492,train
11494,leaf_17394,train
11495,leaf_19456,train
11496,leaf_9004,train
11497,leaf_21005,train
11498,leaf_5905,train
11499,leaf_18072,train
11500,leaf_10373,train
11501,leaf_17655,train
11502,leaf_20702,train
11503,leaf_10550,train
11504,leaf_9053,train
11505,leaf_13708,train
11506,leaf_20805,train
11507,leaf_21290,train
11508,leaf_21493,train
11509,leaf_21806,train
11510,leaf_2453,train
11511,leaf_200,train
11512,leaf_13168,train
11513,leaf_11112,train
11514,leaf_8253,train
11515,leaf_20565,train
11516,leaf_18423,train
11517,leaf_18416,train
11518,leaf_12032,train
11519,leaf_2365,train
11520,leaf_4210,train
11521,leaf_11962,train
11522,leaf_16015,train
11523,leaf_8554,train
11524,leaf_14859,train
11525,leaf_16858,train
11526,leaf_17814,train
11527,leaf_3987,train
11528,leaf_17700,train
11529,leaf_3686,train
11530,leaf_19815,train
11531,leaf_14987,train
11532,leaf_15928,train
11533,leaf_9749,train
11534,leaf_7162,train
11535,leaf_13273,train
11536,leaf_15334,train
11537,leaf_5546,train
11538,leaf_15934,train
11539,leaf_9573,train
11540,leaf_21903,train
11541,leaf_16855,train
11542,leaf_22074,train
11543,leaf_15591,train
11544,leaf_6644,train
11545,leaf_4376,train
11546,leaf_22398,train
11547,leaf_16382,train
11548,leaf_4911,train
11549,leaf_20355,train
11550,leaf_8866,train
11551,leaf_10829,train
11552,leaf_8257,train
11553,leaf_21310,train
11554,leaf_12857,train
11555,leaf_8134,train
11556,leaf_16531,train
11557,leaf_10238,train
11558,leaf_11808,train
11559,leaf_15681,train
11560,leaf_17661,train
11561,leaf_1561,train
11562,leaf_22575,train
11563,leaf_22818,train
11564,leaf_1099,train
11565,leaf_2848,train
11566,leaf_10981,train
11567,leaf_18907,train
11568,leaf_4366,train
11569,leaf_16685,train
11570,leaf_9212,train
11571,leaf_21857,train
11572,leaf_1904,train
11573,leaf_20353,train
11574,leaf_17523,train
11575,leaf_4614,train
11576,leaf_8668,train
11577,leaf_21558,train
11578,leaf_15821,train
11579,leaf_15962,train
11580,leaf_5123,train
11581,leaf_22105,train
11582,leaf_9696,train
11583,leaf_14124,train
11584,leaf_18118,train
11585,leaf_22128,train
11586,leaf_6047,train
11587,leaf_1674,train
11588,leaf_2903,train
11589,leaf_6640,train
11590,leaf_19522,train
11591,leaf_15708,train
11592,leaf_2656,train
11593,leaf_16308,train
11594,leaf_14473,train
11595,leaf_9809,train
11596,leaf_19281,train
11597,leaf_16511,train
11598,leaf_10499,train
11599,leaf_15174,train
11600,leaf_9349,train
11601,leaf_8513,train
11602,leaf_3059,train
11603,leaf_3830,train
11604,leaf_2668,train
11605,leaf_3495,train
11606,leaf_184,train
11607,leaf_196,train
11608,leaf_8208,train
11609,leaf_12448,train
11610,leaf_22480,train
11611,leaf_22087,train
11612,leaf_17428,train
11613,leaf_923,train
11614,leaf_18843,train
11615,leaf_19626,train
11616,leaf_20811,train
11617,leaf_352,train
11618,leaf_8389,train
11619,leaf_7058,train
11620,leaf_4601,train
11621,leaf_13834,train
11622,leaf_6760,train
11623,leaf_22209,train
11624,leaf_3212,train
11625,leaf_21417,train
11626,leaf_22558,train
11627,leaf_20041,train
11628,leaf_22865,train
11629,leaf_472,train
11630,leaf_12719,train
11631,leaf_3725,train
11632,leaf_19639,train
11633,leaf_20003,train
11634,leaf_20296,train
11635,leaf_2925,train
11636,leaf_17004,train
11637,leaf_5603,train
11638,leaf_9034,train
11639,leaf_15686,train
11640,leaf_15850,train
11641,leaf_1707,train
11642,leaf_22519,train
11643,leaf_22769,train
11644,leaf_6444,train
11645,leaf_4630,train
11646,leaf_9163,train
11647,leaf_12682,train
11648,leaf_8549,train
11649,leaf_4208,train
11650,leaf_9027,train
11651,leaf_19722,train
11652,leaf_6918,train
11653,leaf_15916,train
11654,leaf_1103,train
11655,leaf_4173,train
11656,leaf_7238,train
11657,leaf_19921,train
11658,leaf_15575,train
11659,leaf_18246,train
11660,leaf_18418,train
11661,leaf_19276,train
11662,leaf_2411,train
11663,leaf_21293,train
11664,leaf_17245,train
11665,leaf_15539,train
11666,leaf_11465,train
11667,leaf_22535,train
11668,leaf_12181,train
11669,leaf_18989,train
11670,leaf_8715,train
11671,leaf_14702,train
11672,leaf_15734,train
11673,leaf_18713,train
11674,leaf_3533,train
11675,leaf_10955,train
11676,leaf_7729,train
11677,leaf_9079,train
11678,leaf_18453,train
11679,leaf_17710,train
11680,leaf_20129,train
11681,leaf_17263,train
11682,leaf_4396,train
11683,leaf_11924,train
11684,leaf_9777,train
11685,leaf_11057,train
11686,leaf_16306,train
11687,leaf_17771,train
11688,leaf_5531,train
11689,leaf_7409,train
11690,leaf_869,train
11691,leaf_12003,train
11692,leaf_13588,train
11693,leaf_4496,train
11694,leaf_4390,train
11695,leaf_20574,train
11696,leaf_3545,train
11697,leaf_5815,train
11698,leaf_6280,train
11699,leaf_8333,train
11700,leaf_10249,train
11701,leaf_3684,train
11702,leaf_21406,train
11703,leaf_19322,train
11704,leaf_11097,train
11705,leaf_3179,train
11706,leaf_14050,train
11707,leaf_12441,train
11708,leaf_19611,train
11709,leaf_17226,train
11710,leaf_14015,train
11711,leaf_17729,train
11712,leaf_20340,train
11713,leaf_22145,train
11714,leaf_8125,train
11715,leaf_11845,train
11716,leaf_19916,train
11717,leaf_17081,train
11718,leaf_13027,train
11719,leaf_4995,train
11720,leaf_11290,train
11721,leaf_10702,train
11722,leaf_19483,train
11723,leaf_21631,train
11724,leaf_21197,train
11725,leaf_5912,train
11726,leaf_6317,train
11727,leaf_19115,train
11728,leaf_882,train
11729,leaf_7608,train
11730,leaf_19443,train
11731,leaf_5706,train
11732,leaf_22971,train
11733,leaf_12667,train
11734,leaf_9135,train
11735,leaf_10023,train
11736,leaf_8773,train
11737,leaf_4206,train
11738,leaf_13956,train
11739,leaf_12035,train
11740,leaf_17515,train
11741,leaf_10580,train
11742,leaf_5667,train
11743,leaf_15596,train
11744,leaf_20712,train
11745,leaf_12926,train
11746,leaf_9398,train
11747,leaf_17868,train
11748,leaf_8610,train
11749,leaf_22116,train
11750,leaf_2923,train
11751,leaf_20695,train
11752,leaf_8765,train
11753,leaf_4993,train
11754,leaf_18049,train
11755,leaf_10752,train
11756,leaf_12332,train
11757,leaf_12596,train
11758,leaf_13799,train
11759,leaf_11212,train
11760,leaf_10207,train
11761,leaf_21999,train
11762,leaf_543,train
11763,leaf_217,train
11764,leaf_11675,train
11765,leaf_17799,train
11766,leaf_6361,train
11767,leaf_5888,train
11768,leaf_18044,train
11769,leaf_2484,train
11770,leaf_13735,train
11771,leaf_13235,train
11772,leaf_15917,train
11773,leaf_743,train
11774,leaf_7874,train
11775,leaf_22550,train
11776,leaf_12047,train
11777,leaf_10467,train
11778,leaf_22249,train
11779,leaf_10841,train
11780,leaf_4939,train
11781,leaf_18607,train
11782,leaf_11703,train
11783,leaf_3816,train
11784,leaf_20659,train
11785,leaf_18136,train
11786,leaf_11050,train
11787,leaf_9242,train
11788,leaf_18876,train
11789,leaf_17869,train
11790,leaf_11136,train
11791,leaf_18439,train
11792,leaf_718,train
11793,leaf_437,train
11794,leaf_11311,train
11795,leaf_6818,train
11796,leaf_791,train
11797,leaf_7012,train
11798,leaf_507,train
11799,leaf_4947,train
11800,leaf_16461,train
11801,leaf_22182,train
11802,leaf_17327,train
11803,leaf_11761,train
11804,leaf_9611,train
11805,leaf_7353,train
11806,leaf_19953,train
11807,leaf_8519,train
11808,leaf_11088,train
11809,leaf_4402,train
11810,leaf_2359,train
11811,leaf_6719,train
11812,leaf_10163,train
11813,leaf_7425,train
11814,leaf_19148,train
11815,leaf_1920,train
11816,leaf_9920,train
11817,leaf_7611,train
11818,leaf_11927,train
11819,leaf_1287,train
11820,leaf_13081,train
11821,leaf_14568,train
11822,leaf_5005,train
11823,leaf_214,train
11824,leaf_2399,train
11825,leaf_3846,train
11826,leaf_6553,train
11827,leaf_19030,train
11828,leaf_11169,train
11829,leaf_20858,train
11830,leaf_17499,train
11831,leaf_22004,train
11832,leaf_16125,train
11833,leaf_10096,train
11834,leaf_5989,train
11835,leaf_906,train
11836,leaf_11728,train
11837,leaf_10769,train
11838,leaf_13923,train
11839,leaf_1418,train
11840,leaf_10184,train
11841,leaf_22791,train
11842,leaf_14744,train
11843,leaf_15034,train
11844,leaf_15425,train
11845,leaf_2889,train
11846,leaf_5299,train
11847,leaf_566,train
11848,leaf_21195,train
11849,leaf_13454,train
11850,leaf_20297,train
11851,leaf_12826,train
11852,leaf_5595,train
11853,leaf_17365,train
11854,leaf_11217,train
11855,leaf_9523,train
11856,leaf_5360,train
11857,leaf_5609,train
11858,leaf_7347,train
11859,leaf_13458,train
11860,leaf_1842,train
11861,leaf_14996,train
11862,leaf_11897,train
11863,leaf_13598,train
11864,leaf_6914,train
11865,leaf_1030,train
11866,leaf_14889,train
11867,leaf_15463,train
11868,leaf_14366,train
11869,leaf_13069,train
11870,leaf_9783,train
11871,leaf_4423,train
11872,leaf_17353,train
11873,leaf_14079,train
11874,leaf_17035,train
11875,leaf_56,train
11876,leaf_14114,train
11877,leaf_20170,train
11878,leaf_8272,train
11879,leaf_3738,train
11880,leaf_14839,train
11881,leaf_6270,train
11882,leaf_22513,train
11883,leaf_23070,train
11884,leaf_7801,train
11885,leaf_15343,train
11886,leaf_18783,train
11887,leaf_19805,train
11888,leaf_21295,train
11889,leaf_21964,train
11890,leaf_7463,train
11891,leaf_13566,train
11892,leaf_4346,train
11893,leaf_21973,train
11894,leaf_11604,train
11895,leaf_6453,train
11896,leaf_1358,train
11897,leaf_3767,train
11898,leaf_21399,train
11899,leaf_2239,train
11900,leaf_6147,train
11901,leaf_3570,train
11902,leaf_21474,train
11903,leaf_12426,train
11904,leaf_21767,train
11905,leaf_917,train
11906,leaf_17424,train
11907,leaf_12874,train
11908,leaf_11826,train
11909,leaf_9724,train
11910,leaf_18974,train
11911,leaf_8712,train
11912,leaf_8008,train
11913,leaf_7079,train
11914,leaf_10253,train
11915,leaf_3795,train
11916,leaf_20807,train
11917,leaf_23031,train
11918,leaf_7291,train
11919,leaf_22963,train
11920,leaf_6877,train
11921,leaf_16022,train
11922,leaf_23038,train
11923,leaf_11549,train
11924,leaf_1801,train
11925,leaf_6927,train
11926,leaf_16547,train
11927,leaf_19468,train
11928,leaf_10272,train
11929,leaf_2469,train
11930,leaf_16900,train
11931,leaf_767,train
11932,leaf_17076,train
11933,leaf_11142,train
11934,leaf_15142,train
11935,leaf_10705,train
11936,leaf_10448,train
11937,leaf_10237,train
11938,leaf_3244,train
11939,leaf_1762,train
11940,leaf_12578,train
11941,leaf_20933,train
11942,leaf_20018,train
11943,leaf_14672,train
11944,leaf_15836,train
11945,leaf_11656,train
11946,leaf_14054,train
11947,leaf_7793,train
11948,leaf_12416,train
11949,leaf_11742,train
11950,leaf_21252,train
11951,leaf_6103,train
11952,leaf_15759,train
11953,leaf_10051,train
11954,leaf_7615,train
11955,leaf_60,train
11956,leaf_9548,train
11957,leaf_15876,train
11958,leaf_4556,train
11959,leaf_22607,train
11960,leaf_7339,train
11961,leaf_16343,train
11962,leaf_17207,train
11963,leaf_14974,train
11964,leaf_9708,train
11965,leaf_15709,train
11966,leaf_6390,train
11967,leaf_17897,train
11968,leaf_13621,train
11969,leaf_22057,train
11970,leaf_22033,train
11971,leaf_18705,train
11972,leaf_9561,train
11973,leaf_612,train
11974,leaf_11741,train
11975,leaf_6806,train
11976,leaf_8595,train
11977,leaf_4904,train
11978,leaf_15484,train
11979,leaf_6271,train
11980,leaf_2298,train
11981,leaf_5138,train
11982,leaf_6851,train
11983,leaf_21898,train
11984,leaf_648,train
11985,leaf_9730,train
11986,leaf_12878,train
11987,leaf_5070,train
11988,leaf_22660,train
11989,leaf_952,train
11990,leaf_8285,train
11991,leaf_13414,train
11992,leaf_5653,train
11993,leaf_7714,train
11994,leaf_4101,train
11995,leaf_9634,train
11996,leaf_1312,train
11997,leaf_19665,train
11998,leaf_12239,train
11999,leaf_18000,train
12000,leaf_3158,train
12001,leaf_5910,train
12002,leaf_21706,train
12003,leaf_259,train
12004,leaf_7911,train
12005,leaf_13730,train
12006,leaf_4292,train
12007,leaf_19530,train
12008,leaf_8698,train
12009,leaf_20412,train
12010,leaf_4443,train
12011,leaf_18330,train
12012,leaf_10139,train
12013,leaf_16337,train
12014,leaf_14406,train
12015,leaf_860,train
12016,leaf_17617,train
12017,leaf_11387,train
12018,leaf_16234,train
12019,leaf_1639,train
12020,leaf_10972,train
12021,leaf_662,train
12022,leaf_10969,train
12023,leaf_1819,train
12024,leaf_4959,train
12025,leaf_16506,train
12026,leaf_19285,train
12027,leaf_9385,train
12028,leaf_20729,train
12029,leaf_15000,train
12030,leaf_10003,train
12031,leaf_10390,train
12032,leaf_12484,train
12033,leaf_10868,train
12034,leaf_21792,train
12035,leaf_20781,train
12036,leaf_7647,train
12037,leaf_7909,train
12038,leaf_22778,train
12039,leaf_4579,train
12040,leaf_16161,train
12041,leaf_8168,train
12042,leaf_8488,train
12043,leaf_2632,train
12044,leaf_2719,train
12045,leaf_20708,train
12046,leaf_21156,train
12047,leaf_9155,train
12048,leaf_12396,train
12049,leaf_1740,train
12050,leaf_22333,train
12051,leaf_12218,train
12052,leaf_3202,train
12053,leaf_15802,train
12054,leaf_13780,train
12055,leaf_11919,train
12056,leaf_20764,train
12057,leaf_3010,train
12058,leaf_169,train
12059,leaf_14924,train
12060,leaf_3021,train
12061,leaf_5892,train
12062,leaf_13972,train
12063,leaf_1563,train
12064,leaf_8505,train
12065,leaf_13565,train
12066,leaf_20619,train
12067,leaf_4371,train
12068,leaf_22006,train
12069,leaf_19390,train
12070,leaf_13917,train
12071,leaf_22975,train
12072,leaf_10666,train
12073,leaf_11020,train
12074,leaf_18050,train
12075,leaf_4590,train
12076,leaf_14037,train
12077,leaf_7411,train
12078,leaf_145,train
12079,leaf_7438,train
12080,leaf_22052,train
12081,leaf_12280,train
12082,leaf_21899,train
12083,leaf_18113,train
12084,leaf_36,train
12085,leaf_22840,train
12086,leaf_18284,train
12087,leaf_12031,train
12088,leaf_15298,train
12089,leaf_19788,train
12090,leaf_17989,train
12091,leaf_3790,train
12092,leaf_4091,train
12093,leaf_2963,train
12094,leaf_22749,train
12095,leaf_21996,train
12096,leaf_8807,train
12097,leaf_14535,train
12098,leaf_15785,train
12099,leaf_21571,train
12100,leaf_1462,train
12101,leaf_10013,train
12102,leaf_21087,train
12103,leaf_9165,train
12104,leaf_22079,train
12105,leaf_2906,train
12106,leaf_7209,train
12107,leaf_19151,train
12108,leaf_18165,train
12109,leaf_10461,train
12110,leaf_6356,train
12111,leaf_22899,train
12112,leaf_4607,train
12113,leaf_22320,train
12114,leaf_2286,train
12115,leaf_7844,train
12116,leaf_13658,train
12117,leaf_22655,train
12118,leaf_5901,train
12119,leaf_6140,train
12120,leaf_18847,train
12121,leaf_20386,train
12122,leaf_3696,train
12123,leaf_1214,train
12124,leaf_10823,train
12125,leaf_9765,train
12126,leaf_7637,train
12127,leaf_13954,train
12128,leaf_11642,train
12129,leaf_15406,train
12130,leaf_10896,train
12131,leaf_17231,train
12132,leaf_4688,train
12133,leaf_22075,train
12134,leaf_14624,train
12135,leaf_2171,train
12136,leaf_15753,train
12137,leaf_18698,train
12138,leaf_141,train
12139,leaf_12830,train
12140,leaf_14572,train
12141,leaf_6626,train
12142,leaf_14308,train
12143,leaf_19221,train
12144,leaf_17013,train
12145,leaf_13427,train
12146,leaf_23068,train
12147,leaf_3825,train
12148,leaf_6593,train
12149,leaf_14018,train
12150,leaf_18421,train
12151,leaf_12796,train
12152,leaf_19789,train
12153,leaf_13347,train
12154,leaf_340,train
12155,leaf_9772,train
12156,leaf_14173,train
12157,leaf_20304,train
12158,leaf_13700,train
12159,leaf_8694,train
12160,leaf_1957,train
12161,leaf_11337,train
12162,leaf_3138,train
12163,leaf_8258,train
12164,leaf_13989,train
12165,leaf_11626,train
12166,leaf_7003,train
12167,leaf_14626,train
12168,leaf_2709,train
12169,leaf_17085,train
12170,leaf_20195,train
12171,leaf_7619,train
12172,leaf_9686,train
12173,leaf_13299,train
12174,leaf_4204,train
12175,leaf_4489,train
12176,leaf_2571,train
12177,leaf_3160,train
12178,leaf_11068,train
12179,leaf_13114,train
12180,leaf_19057,train
12181,leaf_13076,train
12182,leaf_19759,train
12183,leaf_16158,train
12184,leaf_15028,train
12185,leaf_20716,train
12186,leaf_16548,train
12187,leaf_2993,train
12188,leaf_2630,train
12189,leaf_7669,train
12190,leaf_19864,train
12191,leaf_22137,train
12192,leaf_21237,train
12193,leaf_6676,train
12194,leaf_4235,train
12195,leaf_19338,train
12196,leaf_3315,train
12197,leaf_16046,train
12198,leaf_12623,train
12199,leaf_7907,train
12200,leaf_8087,train
12201,leaf_18555,train
12202,leaf_22593,train
12203,leaf_2106,train
12204,leaf_22888,train
12205,leaf_15399,train
12206,leaf_3897,train
12207,leaf_10736,train
12208,leaf_10284,train
12209,leaf_411,train
12210,leaf_6498,train
12211,leaf_6720,train
12212,leaf_16645,train
12213,leaf_12351,train
12214,leaf_9184,train
12215,leaf_7847,train
12216,leaf_2713,train
12217,leaf_15902,train
12218,leaf_7091,train
12219,leaf_7443,train
12220,leaf_16425,train
12221,leaf_2249,train
12222,leaf_19690,train
12223,leaf_17779,train
12224,leaf_19676,train
12225,leaf_14717,train
12226,leaf_618,train
12227,leaf_22637,train
12228,leaf_18143,train
12229,leaf_13480,train
12230,leaf_17378,train
12231,leaf_4522,train
12232,leaf_19963,train
12233,leaf_3550,train
12234,leaf_11981,train
12235,leaf_10114,train
12236,leaf_8037,train
12237,leaf_17470,train
12238,leaf_22633,train
12239,leaf_15975,train
12240,leaf_22641,train
12241,leaf_3843,train
12242,leaf_2646,train
12243,leaf_4394,train
12244,leaf_2988,train
12245,leaf_14521,train
12246,leaf_537,train
12247,leaf_18254,train
12248,leaf_11756,train
12249,leaf_14140,train
12250,leaf_10119,train
12251,leaf_8337,train
12252,leaf_13601,train
12253,leaf_14307,train
12254,leaf_484,train
12255,leaf_4521,train
12256,leaf_21086,train
12257,leaf_15319,train
12258,leaf_20563,train
12259,leaf_19705,train
12260,leaf_6260,train
12261,leaf_18115,train
12262,leaf_1510,train
12263,leaf_17059,train
12264,leaf_3616,train
12265,leaf_6702,train
12266,leaf_403,train
12267,leaf_8758,train
12268,leaf_10855,train
12269,leaf_19401,train
12270,leaf_20589,train
12271,leaf_1285,train
12272,leaf_20732,train
12273,leaf_7508,train
12274,leaf_4529,train
12275,leaf_10000,train
12276,leaf_4024,train
12277,leaf_17504,train
12278,leaf_10131,train
12279,leaf_11374,train
12280,leaf_21961,train
12281,leaf_2266,train
12282,leaf_18566,train
12283,leaf_15361,train
12284,leaf_3088,train
12285,leaf_22345,train
12286,leaf_12587,train
12287,leaf_22324,train
12288,leaf_8951,train
12289,leaf_9948,train
12290,leaf_6492,train
12291,leaf_11289,train
12292,leaf_15551,train
